Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID.1,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,% Acquired,Raised to Date,VC Round,Price per Share,Series,Deal Type,Deal Class,Total Invested Equity,Deal Status,Business Status,Financing Status,# Investors,# New Investors,# Follow-on Investors,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company Country,Year Founded
89080-39T,52613-92,Information Technology,Computer Hardware,"Computers, Parts and Peripherals","Business/Productivity Software, Computers, Parts and Peripherals*, Internet Software","CloudTech & DevOps, Internet of Things, SaaS, TMT","cloud computing, hybrid cloud platform, iot systems, network management, software tools service",Private Equity-Backed,Generating Revenue,"Debt Financed, Private Equity, Venture Capital",38371-33P,"Purdue University, AS (Associate of Science), Management Information Systems; Purdue University, BS (Bachelor of Science), 1995, Computer Information Systems",6,89080-39T,3/29/2017,5.28,Actual,-1.0,-1.0,0.0,32.18,5th Round,0.0,No Categorization,Later Stage VC,Venture Capital,5.28,Completed,Generating Revenue,Venture Capital-Backed,1.0,0.0,1,43.0,US Dollars (USD),"Fishers, IN",Americas,North America,Fishers,United States,2010.0
93811-24T,52711-39,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Database Software","Big Data, CloudTech & DevOps, SaaS, TMT","big data analytics, business optimization platform, business optimization software, business optimization system, business productivity app, business productivity service, cloud native, cloudtech, data collaboration",Formerly VC-backed,Generating Revenue,"Debt Financed, Venture Capital",38556-19P,"Southern Illinois University, BS (Bachelor of Science), 1979, Computer Science",8,93811-24T,8/17/2018,102.94,Actual,500.0,602.94,17.07,330.34,6th Round,4.14,Series E,Later Stage VC,Venture Capital,102.94,Completed,Generating Revenue,Venture Capital-Backed,5.0,1.0,4,500.0,US Dollars (USD),"Santa Clara, CA",Americas,North America,Santa Clara,United States,2009.0
73971-19T,52711-39,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Database Software","Big Data, CloudTech & DevOps, SaaS, TMT","big data analytics, business optimization platform, business optimization software, business optimization system, business productivity app, business productivity service, cloud native, cloudtech, data collaboration",Formerly VC-backed,Generating Revenue,"Debt Financed, Venture Capital",38556-19P,"Southern Illinois University, BS (Bachelor of Science), 1979, Computer Science",5,73971-19T,10/14/2016,50.52,Actual,450.0,500.52,10.0,224.64,5th Round,4.14,Series E,Later Stage VC,Venture Capital,50.52,Completed,Generating Revenue,Venture Capital-Backed,11.0,3.0,8,500.0,US Dollars (USD),"Santa Clara, CA",Americas,North America,Santa Clara,United States,2009.0
115084-27T,52738-12,Information Technology,IT Services,Systems and Information Management,"Business/Productivity Software, Systems and Information Management*","CloudTech & DevOps, SaaS","api management, api marketplace, cloud api, cloud computing, cloud native, cloudtech, microservice api, service mesh",Venture Capital-Backed,Generating Revenue,Venture Capital,38637-10P,"Università Cattolica del Sacro Cuore, BS (Bachelor of Science), 2009, Economics",7,115084-27T,3/28/2019,43.0,Actual,435.0,478.0,9.0,71.1,5th Round,6.58,Series C,Later Stage VC,Venture Capital,43.0,Completed,Generating Revenue,Venture Capital-Backed,5.0,2.0,3,217.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2009.0
85316-41T,52738-12,Information Technology,IT Services,Systems and Information Management,"Business/Productivity Software, Systems and Information Management*","CloudTech & DevOps, SaaS","api management, api marketplace, cloud api, cloud computing, cloud native, cloudtech, microservice api, service mesh",Venture Capital-Backed,Generating Revenue,Venture Capital,38637-10P,"Università Cattolica del Sacro Cuore, BS (Bachelor of Science), 2009, Economics",6,85316-41T,3/23/2017,18.0,Actual,64.0,82.0,21.95,28.1,4th Round,2.73,Series B,Later Stage VC,Venture Capital,18.0,Completed,Generating Revenue,Venture Capital-Backed,3.0,1.0,2,217.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2009.0
67266-46T,52738-12,Information Technology,IT Services,Systems and Information Management,"Business/Productivity Software, Systems and Information Management*","CloudTech & DevOps, SaaS","api management, api marketplace, cloud api, cloud computing, cloud native, cloudtech, microservice api, service mesh",Venture Capital-Backed,Generating Revenue,Venture Capital,38637-10P,"Università Cattolica del Sacro Cuore, BS (Bachelor of Science), 2009, Economics",5,67266-46T,11/21/2015,2.63,Actual,21.99,24.62,10.68,10.1,3rd Round,1.06,Series A,Later Stage VC,Venture Capital,2.63,Completed,Generating Revenue,Venture Capital-Backed,3.0,1.0,2,217.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2009.0
164303-38T,52738-12,Information Technology,IT Services,Systems and Information Management,"Business/Productivity Software, Systems and Information Management*","CloudTech & DevOps, SaaS","api management, api marketplace, cloud api, cloud computing, cloud native, cloudtech, microservice api, service mesh",Venture Capital-Backed,Generating Revenue,Venture Capital,38637-10P,"Università Cattolica del Sacro Cuore, BS (Bachelor of Science), 2009, Economics",9,164303-38T,12/31/2020,93.0,Actual,-1.0,-1.0,0.0,164.1,6th Round,0.0,No Categorization,Later Stage VC,Venture Capital,93.0,Completed,Generating Revenue,Venture Capital-Backed,0.0,0.0,0,217.0,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,United States,2009.0
62450-20T,52805-08,Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*","CloudTech & DevOps, SaaS, TMT","business networking, cloud collaboration software, cloud computing, enterprise document collaboration platform, professional team collaboration",Formerly PE-Backed,Profitable,"Private Equity, Venture Capital",96015-25P,"Aarhus University, MA (Master of Arts), 1996, International Marketing Management",5,62450-20T,1/8/2015,17.205997603355303,Estimated,-1.0,-1.0,0.0,90.67,No Round,0.0,No Categorization,Accelerator/Incubator,Other,18.2029600523903,Completed,Profitable,Accelerator/Incubator Backed,1.0,1.0,0,59.0,British Pounds (GBP),"London, United Kingdom",Europe,Western Europe,London,United Kingdom,2006.0
157126-42T,52829-38,Information Technology,Software,Database Software,"Business/Productivity Software, Database Software*","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps","cloud native, data management technique, database development, enterprise application, fraud detection software, graphing database, graphing platform, native graphing technology, native graphing technology platform",Venture Capital-Backed,Generating Revenue,Venture Capital,38746-45P,,8,157126-42T,9/30/2020,30.0,Actual,710.0,740.0,4.05,190.69,6th Round,4.65,Series E2,Later Stage VC,Venture Capital,30.0,Completed,Generating Revenue,Venture Capital-Backed,1.0,0.0,1,412.0,US Dollars (USD),"San Mateo, CA",Americas,North America,San Mateo,United States,2000.0
113400-91T,52829-38,Information Technology,Software,Database Software,"Business/Productivity Software, Database Software*","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps","cloud native, data management technique, database development, enterprise application, fraud detection software, graphing database, graphing platform, native graphing technology, native graphing technology platform",Venture Capital-Backed,Generating Revenue,Venture Capital,38746-45P,,6,113400-91T,10/31/2018,80.0,Actual,300.0,370.08,18.94,160.69,5th Round,2.71,Series E,Later Stage VC,Venture Capital,70.08,Completed,Generating Revenue,Venture Capital-Backed,5.0,2.0,3,412.0,US Dollars (USD),"San Mateo, CA",Americas,North America,San Mateo,United States,2000.0
77959-27T,52829-38,Information Technology,Software,Database Software,"Business/Productivity Software, Database Software*","Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps","cloud native, data management technique, database development, enterprise application, fraud detection software, graphing database, graphing platform, native graphing technology, native graphing technology platform",Venture Capital-Backed,Generating Revenue,Venture Capital,38746-45P,,5,77959-27T,10/11/2016,36.0,Actual,120.0,156.0,23.08,80.69,4th Round,1.54,Series D,Later Stage VC,Venture Capital,36.0,Completed,Generating Revenue,Venture Capital-Backed,4.0,1.0,3,412.0,US Dollars (USD),"San Mateo, CA",Americas,North America,San Mateo,United States,2000.0
