Workshop,Region/Country,Industry,Organization size,Participant ID,Race,Gender,Orientation,Age,Disability,Years in company,Satisfaction,Staff level,Staff type,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,395,white,male,heterosexual,30+,none,5,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,396,white,female,heterosexual,40+,none,19,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,397,white,female,heterosexual,20+,none,1,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,398,white,female,heterosexual,40+,none,1,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,399,white,female,heterosexual,40+,none,2,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,400,white,female,heterosexual,30+,invisible,2,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,401,white,female,heterosexual,40+,none,1,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,402,white,female,heterosexual,50+,none,4,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,403,white,female,heterosexual,50+,none,5,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,404,white,female,heterosexual,50+,none,4,-1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,405,white,female,heterosexual,50+,invisible,20,skip,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,406,asian,female,heterosexual,40+,none,2,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,407,white,female,heterosexual,30+,none,5,-1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,408,white,female,heterosexual,50+,none,21,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,409,white,male,gay,30+,none,8,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,410,Pakistani British,female,heterosexual,30+,none,2,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,411,white,female,heterosexual,40+,skip,0,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,412,white,male,heterosexual,30+,none,7,-1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,413,white,female,heterosexual,20+,none,1,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,414,white,empty,empty,30+,none,5,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,415,white,female,heterosexual,40+,none,2,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,416,white,female,heterosexual,40+,none,6,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,417,white,female,heterosexual,30+,none,1,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,418,white,female,asexual,20+,none,5,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,419,white,female,heterosexual,skip,invisible,5,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,420,mixed ethnicity,female,heterosexual,20+,none,1,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,421,white,female,heterosexual,40+,none,6,-1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,422,white,female,heterosexual,30+,none,5,-1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,423,British Asian,female,skip,30+,none,3,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,424,white,female,bisexual,20+,none,7,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,425,white,female,heterosexual,30+,invisible,0,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,426,white,female,heterosexual,30+,none,2,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,427,black,female,heterosexual,40+,none,9,0,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,428,white,female,heterosexual,50+,none,13,2,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,429,white,female,heterosexual,40+,none,10,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,430,white,female,heterosexual,40+,none,3,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,431,Black British,empty,empty,50+,empty,6,0,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,432,empty,empty,empty,50+,empty,6,0,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,433,white,female,heterosexual,40+,none,2,1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,434,empty,empty,empty,empty,empty,0,empty,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,435,white,female,heterosexual,40+,invisible,4,-1,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,436,black,female,heterosexual,40+,none,9,0,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,437,British,empty,empty,50+,none,6,0,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,438,white,female,heterosexual,50+,invisible,20,skip,,,,,,,,,,,,,,,,,,
005,UK,Travel & Hospitality,,439,Paolo2,non-binary,heterosexual,20+,invisible,10,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,544,asian,female,bisexual,30,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,545,white,female,heterosexual,60,invisible,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,546,white,female,heterosexual,40,none,0,2,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,547,hispanic,female,heterosexual,40,none,0,1,,,,,,,,,,,,,,,,,,
006,US,Various,N/A,548,mixed race,female,queer,30,invisible,0,1,,,,,,,,,,,,,,,,,,
